date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-26,36.29,38.16,36.13,37.63,37.63,19731778,0.0000,1.0
2021-11-24,39.14,39.33,37.55,38.89,38.89,18270760,0.0000,1.0
2021-11-23,41.25,42.03,38.07,39.16,39.16,27386488,0.0000,1.0
2021-11-22,41.51,42.99,40.29,41.24,41.24,28831820,0.0000,1.0
2021-11-19,40.2,41.3799,39.66,40.87,40.87,20692331,0.0000,1.0
2021-11-18,42.39,42.4,39.78,40.41,40.41,25262017,0.0000,1.0
2021-11-17,42.34,44.0,42.02,42.13,42.13,23321976,0.0000,1.0
2021-11-16,41.97,44.4325,41.23,42.6,42.6,38388194,0.0000,1.0
2021-11-15,40.35,43.23,40.21,42.68,42.68,39918797,0.0000,1.0
2021-11-12,39.6,40.4399,39.12,40.0,40.0,23433684,0.0000,1.0
2021-11-11,38.0,40.2,37.5,39.46,39.46,30474073,0.0000,1.0
2021-11-10,38.79,40.8691,38.05,38.29,38.29,32463562,0.0000,1.0
2021-11-09,42.43,42.6,39.25,39.93,39.93,37633235,0.0000,1.0
2021-11-08,42.48,45.95,41.77,45.06,45.06,70347849,0.0000,1.0
2021-11-05,41.16,41.97,39.93,41.7,41.7,40076990,0.0000,1.0
2021-11-04,40.39,41.3,39.11,40.05,40.05,28553682,0.0000,1.0
2021-11-03,40.99,44.21,38.88,40.79,40.79,82198013,0.0000,1.0
2021-11-02,37.62,38.8,36.6308,38.79,38.79,37174330,0.0000,1.0
2021-11-01,35.65,37.185,35.39,37.07,37.07,33448882,0.0000,1.0
2021-10-29,35.34,36.6298,34.53,35.37,35.37,32841461,0.0000,1.0
2021-10-28,35.09,36.069,34.86,35.23,35.23,23812234,0.0000,1.0
2021-10-27,36.33,36.79,34.58,34.76,34.76,25904059,0.0000,1.0
2021-10-26,36.53,37.4,35.7819,36.05,36.05,27674755,0.0000,1.0
2021-10-25,36.23,37.8492,35.78,36.83,36.83,30905449,0.0000,1.0
2021-10-22,37.31,37.6709,35.96,36.6,36.6,46324156,0.0000,1.0
2021-10-21,40.89,41.94,38.8,39.24,39.24,33977566,0.0000,1.0
2021-10-20,40.65,41.75,40.3,40.88,40.88,31219958,0.0000,1.0
2021-10-19,42.96,44.4404,40.74,40.8,40.8,52769246,0.0000,1.0
2021-10-18,40.795,43.63,40.49,43.03,43.03,50096258,0.0000,1.0
2021-10-15,40.2,41.79,39.78,40.74,40.74,46524699,0.0000,1.0
2021-10-14,37.8,41.1,37.75,40.07,40.07,67688182,0.0000,1.0
2021-10-13,36.72,38.15,36.12,37.91,37.91,33484458,0.0000,1.0
