date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-26,208.08,211.7299,199.2,199.72,199.72,1235277,0.0000,1.0
2021-11-24,217.25,223.9899,208.0,211.78,211.78,1309388,0.0000,1.0
2021-11-23,243.84,252.2,212.5601,213.9,213.9,3351636,0.0000,1.0
2021-11-22,230.46,249.64,229.745,247.55,247.55,4379604,0.0000,1.0
2021-11-19,209.14,229.39,208.2524,228.8,228.8,3043720,0.0000,1.0
2021-11-18,210.25,215.1376,207.5,210.12,210.12,1005775,0.0000,1.0
2021-11-17,206.3,217.7,206.0,210.0,210.0,1352714,0.0000,1.0
2021-11-16,209.02,212.57,203.625,207.18,207.18,1214596,0.0000,1.0
2021-11-15,203.86,211.5,201.69,209.14,209.14,1466424,0.0000,1.0
2021-11-12,202.14,205.36,197.88,202.1,202.1,899760,0.0000,1.0
2021-11-11,200.0,208.09,198.1501,204.32,204.32,1079401,0.0000,1.0
2021-11-10,202.12,207.39,196.5,199.19,199.19,1309389,0.0000,1.0
2021-11-09,222.0,223.4899,204.44,206.6,206.6,1835213,0.0000,1.0
2021-11-08,212.5,225.04,212.01,218.64,218.64,2157912,0.0000,1.0
2021-11-05,220.64,221.0,209.01,213.25,213.25,1810717,0.0000,1.0
2021-11-04,222.0,228.97,211.55,217.84,217.84,2907976,0.0000,1.0
2021-11-03,214.0,255.69,208.2501,218.33,218.33,11265594,0.0000,1.0
2021-11-02,199.35,211.9381,191.69,206.99,206.99,3478856,0.0000,1.0
2021-11-01,182.53,208.57,182.05,200.09,200.09,4910802,0.0000,1.0
2021-10-29,182.81,185.75,178.0,183.51,183.51,2293970,0.0000,1.0
2021-10-28,175.16,183.14,175.0,182.85,182.85,1696206,0.0000,1.0
2021-10-27,180.0,183.09,172.33,173.51,173.51,1106998,0.0000,1.0
2021-10-26,173.36,185.0,172.5,177.84,177.84,2176749,0.0000,1.0
2021-10-25,169.42,174.8,167.26,173.97,173.97,1442806,0.0000,1.0
2021-10-22,178.1,179.49,167.8,169.8,169.8,2800443,0.0000,1.0
2021-10-21,184.71,190.6999,180.6,181.71,181.71,2402368,0.0000,1.0
2021-10-20,186.33,188.0,181.98,184.52,184.52,2276903,0.0000,1.0
2021-10-19,188.99,192.18,184.4,186.79,186.79,2070618,0.0000,1.0
2021-10-18,182.94,189.87,182.5453,186.02,186.02,1589648,0.0000,1.0
2021-10-15,184.0,186.98,180.88,183.28,183.28,1199977,0.0000,1.0
2021-10-14,183.76,190.2,182.6,183.83,183.83,1676008,0.0000,1.0
2021-10-13,178.3,188.21,176.0,184.06,184.06,1930239,0.0000,1.0
2021-10-12,180.5,181.78,173.8,175.82,175.82,1233652,0.0000,1.0
2021-10-11,173.0,188.49,173.0,178.1,178.1,2684855,0.0000,1.0
2021-10-08,172.5,175.72,171.12,172.68,172.68,818207,0.0000,1.0
2021-10-07,172.0,175.2,170.5406,172.12,172.12,1159326,0.0000,1.0
2021-10-06,170.06,172.96,165.81,171.07,171.07,1200320,0.0000,1.0
2021-10-05,171.19,173.1699,166.7,172.18,172.18,1315854,0.0000,1.0
2021-10-04,175.95,176.95,170.771,171.36,171.36,1195738,0.0000,1.0
