date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-24,117.33,117.33,117.33,117.33,117.33,0,0.0000,1.0
2021-11-23,116.99,116.99,116.99,116.99,116.99,0,0.0000,1.0
2021-11-22,116.94,116.94,116.94,116.94,116.94,0,0.0000,1.0
2021-11-19,117.54,117.54,117.54,117.54,117.54,0,0.0000,1.0
2021-11-18,117.84,117.84,117.84,117.84,117.84,0,0.0000,1.0
2021-11-17,117.66,117.66,117.66,117.66,117.66,0,0.0000,1.0
2021-11-16,118.13,118.13,118.13,118.13,118.13,0,0.0000,1.0
2021-11-15,117.64,117.64,117.64,117.64,117.64,0,0.0000,1.0
2021-11-12,117.67,117.67,117.67,117.67,117.67,0,0.0000,1.0
2021-11-11,116.82,116.82,116.82,116.82,116.82,0,0.0000,1.0
2021-11-10,116.63,116.63,116.63,116.63,116.63,0,0.0000,1.0
2021-11-09,117.8,117.8,117.8,117.8,117.8,0,0.0000,1.0
2021-11-08,118.14,118.14,118.14,118.14,118.14,0,0.0000,1.0
2021-11-05,117.94,117.94,117.94,117.94,117.94,0,0.0000,1.0
2021-11-04,117.46,117.46,117.46,117.46,117.46,0,0.0000,1.0
2021-11-03,117.07,117.07,117.07,117.07,117.07,0,0.0000,1.0
2021-11-02,116.21,116.21,116.21,116.21,116.21,0,0.0000,1.0
2021-11-01,115.88,115.88,115.88,115.88,115.88,0,0.0000,1.0
2021-10-29,115.35,115.35,115.35,115.35,115.35,0,0.0000,1.0
2021-10-28,115.14,115.14,115.14,115.14,115.14,0,0.0000,1.0
2021-10-27,113.89,113.89,113.89,113.89,113.89,0,0.0000,1.0
2021-10-26,114.75,114.75,114.75,114.75,114.75,0,0.0000,1.0
2021-10-25,114.69,114.69,114.69,114.69,114.69,0,0.0000,1.0
2021-10-22,114.11,114.11,114.11,114.11,114.11,0,0.0000,1.0
2021-10-21,114.33,114.33,114.33,114.33,114.33,0,0.0000,1.0
2021-10-20,113.92,113.92,113.92,113.92,113.92,0,0.0000,1.0
2021-10-19,113.49,113.49,113.49,113.49,113.49,0,0.0000,1.0
2021-10-18,112.71,112.71,112.71,112.71,112.71,0,0.0000,1.0
2021-10-15,112.31,112.31,112.31,112.31,112.31,0,0.0000,1.0
2021-10-14,111.63,111.63,111.63,111.63,111.63,0,0.0000,1.0
2021-10-13,109.79,109.79,109.79,109.79,109.79,0,0.0000,1.0
2021-10-12,109.33,109.33,109.33,109.33,109.33,0,0.0000,1.0
2021-10-11,109.38,109.38,109.38,109.38,109.38,0,0.0000,1.0
2021-10-08,110.12,110.12,110.12,110.12,110.12,0,0.0000,1.0
2021-10-07,110.43,110.43,110.43,110.43,110.43,0,0.0000,1.0
2021-10-06,109.36,109.36,109.36,109.36,109.36,0,0.0000,1.0
2021-10-05,108.96,108.96,108.96,108.96,108.96,0,0.0000,1.0
2021-10-04,107.88,107.88,107.88,107.88,107.88,0,0.0000,1.0
2021-10-01,109.36,109.36,109.36,109.36,109.36,0,0.0000,1.0
2021-09-30,108.08,108.08,108.08,108.08,108.08,0,0.0000,1.0
2021-09-29,109.26,109.26,109.26,109.26,109.26,0,0.0000,1.0
2021-09-28,109.17,109.17,109.17,109.17,109.17,0,0.0000,1.0
2021-09-27,111.53,111.53,111.53,111.53,111.53,0,0.0000,1.0
2021-09-24,111.72,111.72,111.72,111.72,111.72,0,0.0000,1.0
2021-09-23,111.66,111.66,111.66,111.66,111.66,0,0.3496,1.0
2021-09-22,110.63,110.63,110.63,110.63,110.284705954,0,0.0000,1.0
2021-09-21,109.53,109.53,109.53,109.53,109.188139231,0,0.0000,1.0
2021-09-20,109.53,109.53,109.53,109.53,109.188139231,0,0.0000,1.0
2021-09-17,111.51,111.51,111.51,111.51,111.161959332,0,0.0000,1.0
2021-09-16,112.37,112.37,112.37,112.37,112.019275134,0,0.0000,1.0
2021-09-15,112.45,112.45,112.45,112.45,112.099025441,0,0.0000,1.0
2021-09-14,111.48,111.48,111.48,111.48,111.132052967,0,0.0000,1.0
2021-09-13,112.18,112.18,112.18,112.18,111.829868154,0,0.0000,1.0
2021-09-10,111.95,111.95,111.95,111.95,111.600586021,0,0.0000,1.0
2021-09-09,112.83,112.83,112.83,112.83,112.477839399,0,0.0000,1.0
2021-09-08,113.24,113.24,113.24,113.24,112.886559723,0,0.0000,1.0
2021-09-07,113.54,113.54,113.54,113.54,113.185623375,0,0.0000,1.0
2021-09-03,114.01,114.01,114.01,114.01,113.654156429,0,0.0000,1.0
2021-09-02,114.05,114.05,114.05,114.05,113.694031583,0,0.0000,1.0
2021-09-01,113.65,113.65,113.65,113.65,113.295280047,0,0.0000,1.0
2021-08-31,113.51,113.51,113.51,113.51,113.15571701,0,0.0000,1.0
2021-08-30,113.66,113.66,113.66,113.66,113.305248836,0,0.0000,1.0
2021-08-27,113.26,113.26,113.26,113.26,112.9064973,0,0.0000,1.0
2021-08-26,112.07,112.07,112.07,112.07,111.720211482,0,0.0000,1.0
2021-08-25,112.78,112.78,112.78,112.78,112.427995458,0,0.0000,1.0
2021-08-24,112.47,112.47,112.47,112.47,112.118963017,0,0.0000,1.0
2021-08-23,112.11,112.11,112.11,112.11,111.760086635,0,0.0000,1.0
2021-08-20,111.02,111.02,111.02,111.02,110.673488701,0,0.0000,1.0
2021-08-19,110.02,110.02,110.02,110.02,109.676609862,0,0.0000,1.0
