date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-24,38.09,38.09,38.09,38.09,38.09,0,0.0000,1.0
2021-11-23,38.08,38.08,38.08,38.08,38.08,0,0.0000,1.0
2021-11-22,38.08,38.08,38.08,38.08,38.08,0,0.0000,1.0
2021-11-19,38.31,38.31,38.31,38.31,38.31,0,0.0000,1.0
2021-11-18,38.46,38.46,38.46,38.46,38.46,0,0.0000,1.0
2021-11-17,38.45,38.45,38.45,38.45,38.45,0,0.0000,1.0
2021-11-16,38.59,38.59,38.59,38.59,38.59,0,0.0000,1.0
2021-11-15,38.52,38.52,38.52,38.52,38.52,0,0.0000,1.0
2021-11-12,38.56,38.56,38.56,38.56,38.56,0,0.0000,1.0
2021-11-11,38.3,38.3,38.3,38.3,38.3,0,0.0000,1.0
2021-11-10,38.18,38.18,38.18,38.18,38.18,0,0.0000,1.0
2021-11-09,38.55,38.55,38.55,38.55,38.55,0,0.0000,1.0
2021-11-08,38.65,38.65,38.65,38.65,38.65,0,0.0000,1.0
2021-11-05,38.56,38.56,38.56,38.56,38.56,0,0.0000,1.0
2021-11-04,38.46,38.46,38.46,38.46,38.46,0,0.0000,1.0
2021-11-03,38.4,38.4,38.4,38.4,38.4,0,0.0000,1.0
2021-11-02,38.13,38.13,38.13,38.13,38.13,0,0.0000,1.0
2021-11-01,38.13,38.13,38.13,38.13,38.13,0,0.0000,1.0
2021-10-29,37.89,37.89,37.89,37.89,37.89,0,0.0000,1.0
2021-10-28,38.0,38.0,38.0,38.0,38.0,0,0.0000,1.0
2021-10-27,37.63,37.63,37.63,37.63,37.63,0,0.0000,1.0
2021-10-26,37.88,37.88,37.88,37.88,37.88,0,0.0000,1.0
2021-10-25,37.88,37.88,37.88,37.88,37.88,0,0.0000,1.0
2021-10-22,37.75,37.75,37.75,37.75,37.75,0,0.0000,1.0
2021-10-21,37.75,37.75,37.75,37.75,37.75,0,0.0000,1.0
2021-10-20,37.75,37.75,37.75,37.75,37.75,0,0.0000,1.0
2021-10-19,37.63,37.63,37.63,37.63,37.63,0,0.0000,1.0
2021-10-18,37.36,37.36,37.36,37.36,37.36,0,0.0000,1.0
2021-10-15,37.31,37.31,37.31,37.31,37.31,0,0.0000,1.0
2021-10-14,37.05,37.05,37.05,37.05,37.05,0,0.0000,1.0
2021-10-13,36.54,36.54,36.54,36.54,36.54,0,0.0000,1.0
2021-10-12,36.29,36.29,36.29,36.29,36.29,0,0.0000,1.0
2021-10-11,36.32,36.32,36.32,36.32,36.32,0,0.0000,1.0
2021-10-08,36.5,36.5,36.5,36.5,36.5,0,0.0000,1.0
2021-10-07,36.55,36.55,36.55,36.55,36.55,0,0.0000,1.0
2021-10-06,36.19,36.19,36.19,36.19,36.19,0,0.0000,1.0
2021-10-05,36.21,36.21,36.21,36.21,36.21,0,0.0000,1.0
2021-10-04,35.89,35.89,35.89,35.89,35.89,0,0.0000,1.0
2021-10-01,36.34,36.34,36.34,36.34,36.34,0,0.0000,1.0
2021-09-30,36.05,36.05,36.05,36.05,36.05,0,0.0000,1.0
2021-09-29,36.31,36.31,36.31,36.31,36.31,0,0.0000,1.0
2021-09-28,36.33,36.33,36.33,36.33,36.33,0,0.0000,1.0
2021-09-27,37.09,37.09,37.09,37.09,37.09,0,0.0000,1.0
2021-09-24,37.13,37.13,37.13,37.13,37.13,0,0.0000,1.0
2021-09-23,37.25,37.25,37.25,37.25,37.25,0,0.0000,1.0
2021-09-22,36.81,36.81,36.81,36.81,36.81,0,0.0000,1.0
2021-09-21,36.52,36.52,36.52,36.52,36.52,0,0.0000,1.0
2021-09-20,36.38,36.38,36.38,36.38,36.38,0,0.0000,1.0
2021-09-17,37.08,37.08,37.08,37.08,37.08,0,0.1422,1.0
2021-09-16,37.55,37.55,37.55,37.55,37.4065477054,0,0.0000,1.0
2021-09-15,37.64,37.64,37.64,37.64,37.4962038783,0,0.0000,1.0
2021-09-14,37.43,37.43,37.43,37.43,37.2870061415,0,0.0000,1.0
2021-09-13,37.64,37.64,37.64,37.64,37.4962038783,0,0.0000,1.0
2021-09-10,37.5,37.5,37.5,37.5,37.3567387204,0,0.0000,1.0
2021-09-09,37.71,37.71,37.71,37.71,37.5659364573,0,0.0000,1.0
2021-09-08,37.81,37.81,37.81,37.81,37.6655544272,0,0.0000,1.0
2021-09-07,38.01,38.01,38.01,38.01,37.864790367,0,0.0000,1.0
2021-09-03,38.09,38.09,38.09,38.09,37.944484743,0,0.0000,1.0
2021-09-02,38.02,38.02,38.02,38.02,37.874752164,0,0.0000,1.0
2021-09-01,37.9,37.9,37.9,37.9,37.7552106001,0,0.0000,1.0
2021-08-31,37.74,37.74,37.74,37.74,37.5958218483,0,0.0000,1.0
2021-08-30,37.73,37.73,37.73,37.73,37.5858600513,0,0.0000,1.0
2021-08-27,37.62,37.62,37.62,37.62,37.4762802843,0,0.0000,1.0
2021-08-26,37.24,37.24,37.24,37.24,37.0977319986,0,0.0000,1.0
2021-08-25,37.49,37.49,37.49,37.49,37.3467769234,0,0.0000,1.0
2021-08-24,37.4,37.4,37.4,37.4,37.2571207505,0,0.0000,1.0
2021-08-23,37.2,37.2,37.2,37.2,37.0578848107,0,0.0000,1.0
2021-08-20,36.82,36.82,36.82,36.82,36.679336525,0,0.0000,1.0
2021-08-19,36.6,36.6,36.6,36.6,36.4601769912,0,0.0000,1.0
2021-08-18,36.81,36.81,36.81,36.81,36.669374728,0,0.0000,1.0
2021-08-17,37.04,37.04,37.04,37.04,36.8984960588,0,0.0000,1.0
2021-08-16,37.38,37.38,37.38,37.38,37.2371971565,0,0.0000,1.0
2021-08-13,37.45,37.45,37.45,37.45,37.3069297355,0,0.0000,1.0
2021-08-12,37.4,37.4,37.4,37.4,37.2571207505,0,0.0000,1.0
2021-08-11,37.38,37.38,37.38,37.38,37.2371971565,0,0.0000,1.0
2021-08-10,37.24,37.24,37.24,37.24,37.0977319986,0,0.0000,1.0
2021-08-09,37.2,37.2,37.2,37.2,37.0578848107,0,0.0000,1.0
2021-08-06,37.22,37.22,37.22,37.22,37.0778084047,0,0.0000,1.0
2021-08-05,37.27,37.27,37.27,37.27,37.1276173896,0,0.0000,1.0
2021-08-04,37.08,37.08,37.08,37.08,36.9383432468,0,0.0000,1.0
2021-08-03,37.18,37.18,37.18,37.18,37.0379612167,0,0.0000,1.0
2021-08-02,36.93,36.93,36.93,36.93,36.7889162919,0,0.0000,1.0
2021-07-30,36.87,36.87,36.87,36.87,36.7291455099,0,0.0000,1.0
2021-07-29,37.12,37.12,37.12,37.12,36.9781904347,0,0.0000,1.0
2021-07-28,36.91,36.91,36.91,36.91,36.7689926979,0,0.0000,1.0
2021-07-27,36.72,36.72,36.72,36.72,36.5797185551,0,0.0000,1.0
2021-07-26,36.95,36.95,36.95,36.95,36.8088398859,0,0.0000,1.0
2021-07-23,37.0,37.0,37.0,37.0,36.8586488708,0,0.0000,1.0
2021-07-22,36.76,36.76,36.76,36.76,36.619565743,0,0.0000,1.0
2021-07-21,36.71,36.71,36.71,36.71,36.5697567581,0,0.0000,1.0
2021-07-20,36.34,36.34,36.34,36.34,36.2011702694,0,0.0000,1.0
2021-07-19,35.89,35.89,35.89,35.89,35.7528894047,0,0.0000,1.0
2021-07-16,36.47,36.47,36.47,36.47,36.3306736303,0,0.0000,1.0
2021-07-15,36.74,36.74,36.74,36.74,36.599642149,0,0.0000,1.0
2021-07-14,36.91,36.91,36.91,36.91,36.7689926979,0,0.0000,1.0
2021-07-13,36.9,36.9,36.9,36.9,36.7590309009,0,0.0000,1.0
2021-07-12,37.05,37.05,37.05,37.05,36.9084578558,0,0.0000,1.0
2021-07-09,36.96,36.96,36.96,36.96,36.8188016829,0,0.0000,1.0
2021-07-08,36.45,36.45,36.45,36.45,36.3107500363,0,0.0000,1.0
2021-07-07,36.86,36.86,36.86,36.86,36.7191837129,0,0.0000,1.0
